[2025-12-20 17:27:56,552: INFO: main: Welcome to our custom log]
[2025-12-20 17:28:07,748: INFO: main: Welcome to our custom log]
[2025-12-21 14:18:14,394: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-12-21 14:18:14,396: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-21 14:18:14,396: INFO: common: created directory at: artifacts]
[2025-12-21 14:18:14,397: INFO: common: created directory at: artifacts/data_ingestion]
[2025-12-21 14:18:14,398: INFO: 2729748356: Downloading data from https://drive.google.com/file/d/1Cj8YSn-pN4wqI-3F7J-YoMGQCuGJmJWc/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-12-21 14:18:30,648: INFO: 2729748356: Downloaded data from https://drive.google.com/file/d/1Cj8YSn-pN4wqI-3F7J-YoMGQCuGJmJWc/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-12-21 15:26:41,886: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-12-21 15:26:41,887: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-12-21 15:26:41,888: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-21 15:26:41,888: INFO: common: created directory at: artifacts]
[2025-12-21 15:26:41,888: INFO: common: created directory at: artifacts/data_ingestion]
[2025-12-21 15:26:41,888: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1Cj8YSn-pN4wqI-3F7J-YoMGQCuGJmJWc/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-12-21 15:27:02,911: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1Cj8YSn-pN4wqI-3F7J-YoMGQCuGJmJWc/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-12-21 15:27:04,135: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
